ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,CONTINEN_1,REGION_1,prec_2000,prec_2005,prec_2020,prec_2007,prec_2019,prec_2010,prec_2002,prec_2017,prec_2004,prec_2001,prec_2022,prec_2008,prec_2021,prec_2014,prec_2018,prec_2013,prec_2016,prec_2024,prec_2023,prec_2006,prec_2012,prec_2009,prec_2003,prec_2011,prec_2015
61142.0,Assumption,220.0,Seychelles,Africa,Eastern Africa,0.03842662647366524,0.03540707007050514,0.037995338439941406,0.024463124573230743,0.0209275484085083,0.02594703435897827,0.036212578415870667,0.02671723999083042,0.033757664263248444,0.025217488408088684,0.0347541868686676,0.024555327370762825,0.0340077169239521,0.022665338590741158,0.02471158653497696,0.030965903773903847,0.024052606895565987,0.02603260613977909,0.03574540093541145,0.041789401322603226,0.03498552367091179,0.025807922706007957,0.032412655651569366,0.034633491188287735,0.02590673416852951
4150.0,Southern Kordofan,6.0,Sudan,Africa,Eastern Africa,654.997641509434,576.8720518867924,577.2838443396226,736.798054245283,762.6321933962264,682.4188089622642,647.3188679245283,743.6830188679245,446.16282429245285,655.3679245283018,623.1237028301887,494.1458726415094,629.7264150943396,728.433195754717,672.6981132075472,596.468396226415,669.6533018867924,627.2005896226415,640.6366155660378,607.6234669811321,635.7235849056603,468.5903301886792,593.1333726415095,658.378537735849,667.9939268867925
12909.0,Tibesti,50.0,Chad,Africa,Central Africa,14.363528892873669,16.300582412656176,20.248112852845903,18.62961121876446,19.138018423183713,16.776219415201297,14.576129396112911,18.05686205749653,15.112395520013882,13.951649084625174,14.740910421968996,17.5002404124248,15.364109136395188,17.03489233861638,20.95411918671911,14.907121269088385,17.11552268914854,25.507617277880613,17.890986522443313,15.431885556455345,19.030951743984268,17.2094317590236,15.926314495603886,15.035237592549745,18.400646402128643
12910.0,Baguirmi,50.0,Chad,Africa,Central Africa,649.1124185372918,778.7066437364228,863.2233888486604,661.2729453294714,956.6393917451122,800.6541455467053,621.0842233888486,743.4516202027517,677.3578023171615,801.427679217958,896.1222845763939,683.8962708182477,650.454923968139,539.4119297610428,692.0650343953657,595.8034485879797,815.9433381607531,935.4639753801594,821.2693700217234,771.9698587979725,845.1165821868211,610.3814717595945,770.695510499638,697.4748823316437,755.7758417813179
12915.0,Kanem,50.0,Chad,Africa,Central Africa,109.29114213330547,170.95635708315922,165.65816966151274,133.0725161930631,148.49480254910154,151.15625,107.22099613455913,132.24279147513582,91.10004440033431,117.81639155871291,197.07820988299207,130.05883044295862,139.1056989134977,103.56519013790222,160.66227016297535,107.69419922691182,149.50982030923527,273.59783744254077,147.9443559339741,125.97729053489344,179.48499529878814,101.15251514834935,139.88071980777266,133.03811899289596,124.35969494358545
12930.0,Tandjile Est,50.0,Chad,Africa,Central Africa,816.6242487980769,1036.3035606971155,1057.1518179086538,804.9196213942307,1142.0748948317307,1093.4503455528845,900.0347806490385,975.4079026442307,914.3915264423077,1108.0122445913462,1225.0661057692307,859.7604417067307,1064.6117788461538,848.6811899038462,867.1488882211538,987.2606670673077,948.4362229567307,1126.4988731971155,959.5162259615385,900.4594350961538,1244.9565805288462,763.8748497596154,934.7379807692307,1029.6214693509614,1015.2725360576923
12918.0,Logone Oriental,50.0,Chad,Africa,Central Africa,970.9281000996016,1173.5991035856573,1216.8274402390439,983.7000124501992,1285.0617529880478,1291.6245019920318,1026.117467629482,1242.0678535856573,1068.668077689243,1257.695094621514,1260.394173306773,1045.504233067729,1254.3024153386455,1026.3138072709164,985.5397161354582,1143.4953934262949,1080.4340139442231,1321.2522410358565,1134.6503984063745,1018.1303535856574,1451.9631474103585,862.5770044820717,1197.7914591633466,1202.9733565737051,1169.3706424302788
12919.0,Mont De Lam,50.0,Chad,Africa,Central Africa,1141.7706043956043,1317.169184981685,1250.9130036630036,1064.801510989011,1398.2604166666667,1422.8666437728937,1112.551053113553,1386.725618131868,1261.790750915751,1351.0835622710622,1416.617673992674,1110.5358287545787,1269.3754578754579,1139.419413919414,1130.3519917582419,1273.039262820513,1176.684294871795,1348.5697115384614,1310.1973443223444,1132.0869963369964,1507.5059523809523,989.2339743589744,1391.0548305860807,1321.0304487179487,1357.9701236263736
12931.0,Tandjile Ouest,50.0,Chad,Africa,Central Africa,906.5706439393939,1048.9286931818183,1073.6035984848486,764.2184659090909,1069.3469696969696,1119.269318181818,893.40625,983.6887310606061,956.7580492424242,1108.6488636363636,1299.0147727272727,843.4008522727273,1031.0871212121212,825.1480113636363,904.7841856060606,942.4947916666666,993.2130681818181,1016.6159090909091,1003.3688446969697,906.619034090909,1183.8490530303031,726.6008996212121,960.1124053030303,1041.8825757575758,966.4770833333333
16837.0,Comoe,66.0,Cote d'Ivoire,Africa,Western Africa,1309.4258565310492,1397.730460385439,1395.8017933618844,1623.3195931477517,1512.1783993576016,1703.698340471092,1679.6081370449679,1505.3129014989293,1421.57267130621,1536.5616970021413,1702.6671573875803,1683.5936830835117,1593.2981798715202,1472.1227248394005,1374.8728586723769,1173.297778372591,1193.0722698072805,1372.0413543897216,1936.0149892933619,1367.4427194860814,1461.328426124197,1457.972698072805,1544.828961456103,1619.8768736616703,1198.9656049250536
